phy,psy,cmmt,exp,chun
43,18,28,1,0
54,27,28,1,0
60,30,26,0,0
57,17,23,0,0
60,30,29,1,0
42,27,26,1,1
48,21,23,0,0
46,18,28,0,0
57,30,23,0,0
59,24,26,0,0
47,23,27,1,0
36,18,27,1,0
43,24,26,0,0
46,17,16,1,1
43,23,21,0,1
52,20,23,1,0
51,27,26,0,0
49,23,15,1,1
39,21,17,1,1
36,16,17,1,1
41,24,23,0,0
58,30,28,0,0
57,30,23,0,0
40,21,21,1,0
46,24,29,1,0
47,19,20,0,0
47,27,24,0,0
37,20,25,1,0
48,24,12,1,1
49,29,32,0,0
34,15,23,0,0
46,14,28,1,0
43,21,31,1,0
47,24,27,0,0
49,28,24,0,0
44,24,21,0,0
44,27,14,0,1
44,24,24,1,0
48,18,20,1,1
37,11,17,0,1
46,22,27,1,0
37,15,21,0,0
45,20,23,1,0
38,15,27,1,0
54,24,22,1,1
47,19,22,0,0
44,27,24,0,0
46,30,25,1,0
39,20,24,0,0
41,24,27,1,0
46,21,28,0,0
44,23,21,1,0
46,20,27,0,0
44,26,27,0,0
47,22,26,0,0
43,24,18,1,1
44,24,28,1,0
43,19,24,1,0
38,15,26,0,0
57,22,25,0,0
39,16,25,1,0
55,30,19,1,0
48,24,23,0,0
29,18,19,0,0
56,27,24,1,0
46,24,24,1,0
47,24,27,0,0
40,21,26,1,0
33,14,15,0,1
42,24,25,1,0
45,20,17,0,1
45,24,24,1,0
46,19,21,1,1
60,30,23,1,0
53,19,24,1,0
54,30,19,0,0
42,24,24,0,0
46,21,24,1,0
36,9,26,0,0
47,24,26,0,0
42,17,22,1,1
31,18,15,1,1
32,16,25,0,1
57,28,25,0,0
40,19,24,0,0
47,24,21,1,0
26,17,21,1,1
41,19,22,1,0
28,12,15,0,1
46,24,21,1,1
43,20,15,0,0
47,19,21,1,1
46,14,17,0,1
43,18,25,1,0
43,23,28,1,0
33,15,18,1,1
41,26,16,0,1
27,15,14,0,1
45,22,23,1,1
56,30,19,1,1
